Run ID,Timestamp,a,b,Number of Bits,Expected Result,Stochastic Result (Clean),Stochastic Result (Trojan),Delta (Trojan - Clean),Percent Error Clean (%),Percent Error Trojan (%),Trojan k (counter bits),Trojan Trigger Period (cycles),Trojan Flips Applied,Trojan Flip Rate
016407f4-4eaf-4ba0-8411-0b4d05948f64,2025-10-22T09:55:11.021702,0.856821,0.20637,2,0.17682215,0.5,0.5,0.0,182.770004,182.770004,8,256,0,0.0
016407f4-4eaf-4ba0-8411-0b4d05948f64,2025-10-22T09:55:11.021702,0.856821,0.20637,4,0.17682215,0.25,0.25,0.0,41.385002,41.385002,8,256,0,0.0
016407f4-4eaf-4ba0-8411-0b4d05948f64,2025-10-22T09:55:11.021702,0.856821,0.20637,8,0.17682215,0.25,0.25,0.0,41.385002,41.385002,8,256,0,0.0
016407f4-4eaf-4ba0-8411-0b4d05948f64,2025-10-22T09:55:11.021702,0.856821,0.20637,16,0.17682215,0.1875,0.1875,0.0,6.038751,6.038751,8,256,0,0.0
016407f4-4eaf-4ba0-8411-0b4d05948f64,2025-10-22T09:55:11.021702,0.856821,0.20637,32,0.17682215,0.1875,0.1875,0.0,6.038751,6.038751,8,256,0,0.0
016407f4-4eaf-4ba0-8411-0b4d05948f64,2025-10-22T09:55:11.021702,0.856821,0.20637,64,0.17682215,0.203125,0.203125,0.0,14.875314,14.875314,8,256,0,0.0
016407f4-4eaf-4ba0-8411-0b4d05948f64,2025-10-22T09:55:11.021702,0.856821,0.20637,128,0.17682215,0.2109375,0.2109375,0.0,19.293595,19.293595,8,256,0,0.0
016407f4-4eaf-4ba0-8411-0b4d05948f64,2025-10-22T09:55:11.021702,0.856821,0.20637,256,0.17682215,0.20703125,0.203125,-0.00390625,17.084455,14.875314,8,256,1,0.00390625
016407f4-4eaf-4ba0-8411-0b4d05948f64,2025-10-22T09:55:11.021702,0.856821,0.20637,512,0.17682215,0.20507812,0.20117188,-0.00390624,15.979881,13.770746,8,256,2,0.00390625
016407f4-4eaf-4ba0-8411-0b4d05948f64,2025-10-22T09:55:11.021702,0.856821,0.20637,1024,0.17682215,0.20605469,0.20214844,-0.00390625,16.532171,14.32303,8,256,4,0.00390625
016407f4-4eaf-4ba0-8411-0b4d05948f64,2025-10-22T09:55:11.021702,0.856821,0.20637,2048,0.17682215,0.20654297,0.20263672,-0.00390625,16.808313,14.599172,8,256,8,0.00390625
016407f4-4eaf-4ba0-8411-0b4d05948f64,2025-10-22T09:55:11.021702,0.856821,0.20637,4096,0.17682215,0.20629883,0.20239258,-0.00390625,16.670242,14.461101,8,256,16,0.00390625
016407f4-4eaf-4ba0-8411-0b4d05948f64,2025-10-22T09:55:11.021702,0.856821,0.20637,8192,0.17682215,0.20629883,0.20239258,-0.00390625,16.670242,14.461101,8,256,32,0.00390625
016407f4-4eaf-4ba0-8411-0b4d05948f64,2025-10-22T09:55:11.021702,0.856821,0.20637,16384,0.17682215,0.20635986,0.20245361,-0.00390625,16.704757,14.495616,8,256,64,0.00390625
016407f4-4eaf-4ba0-8411-0b4d05948f64,2025-10-22T09:55:11.021702,0.856821,0.20637,32768,0.17682215,0.20635986,0.20245361,-0.00390625,16.704757,14.495616,8,256,128,0.00390625
016407f4-4eaf-4ba0-8411-0b4d05948f64,2025-10-22T09:55:11.021702,0.856821,0.20637,65536,0.17682215,0.20637512,0.20246887,-0.00390625,16.713387,14.504246,8,256,256,0.00390625
016407f4-4eaf-4ba0-8411-0b4d05948f64,2025-10-22T09:55:11.021702,0.856821,0.20637,131072,0.17682215,0.20637512,0.20246887,-0.00390625,16.713387,14.504246,8,256,512,0.00390625
